"Season","round","homeTeam","awayTeam","snitch","homeGoals","awayGoals"
2015,4,"Turkey Knights","Australia Centurions","Turkey Knights",14,13
2015,4,"Durhamstrang","Japan Falcons","Japan Falcons",4,10
2015,4,"England Nightmares","Germany Werewolves","England Nightmares",2,6
2015,4,"Scotland Squirrels","France Thestrals","France Thestrals",6,15
2015,4,"Wales Longshots","Ireland Griffins","Wales Longshots",3,15
2015,5,"United States Chimeras","France Hippogriffs Firsts","France Hippogriffs Firsts",1,7
2015,5,"Denmark Horntails","New Zealand Daemons","Denmark Horntails",3,0
2015,5,"Malaysia Tornadoes","Australia Centurions","Malaysia Tornadoes",1,15
2015,5,"Pakistan Swans","Japan Falcons","Pakistan Swans",12,13
2015,5,"Turkey Knights","Germany Werewolves","Turkey Knights",12,1
2015,5,"Durhamstrang","France Thestrals","Durhamstrang",1,3
2015,5,"England Nightmares","Ireland Griffins","England Nightmares",12,13
2015,5,"Scotland Squirrels","Wales Longshots","Scotland Squirrels",0,15
2015,6,"United States Chimeras","New Zealand Daemons","United States Chimeras",3,13
2015,6,"France Hippogriffs Firsts","Australia Centurions","Australia Centurions",13,1
2015,6,"Denmark Horntails","Japan Falcons","Japan Falcons",3,6
2015,6,"Malaysia Tornadoes","Germany Werewolves","Germany Werewolves",0,9
2015,6,"Pakistan Swans","France Thestrals","France Thestrals",11,2
2015,6,"Turkey Knights","Ireland Griffins","Ireland Griffins",5,8
2015,6,"Durhamstrang","Wales Longshots","Wales Longshots",14,10
2015,6,"England Nightmares","Scotland Squirrels","England Nightmares",13,3
2015,7,"United States Chimeras","Australia Centurions","United States Chimeras",12,14
2015,7,"New Zealand Daemons","Japan Falcons","New Zealand Daemons",15,5
2015,7,"France Hippogriffs Firsts","Germany Werewolves","France Hippogriffs Firsts",0,4
2015,7,"Denmark Horntails","France Thestrals","Denmark Horntails",13,6
2015,7,"Malaysia Tornadoes","Ireland Griffins","Malaysia Tornadoes",12,6
2015,7,"Pakistan Swans","Wales Longshots","Wales Longshots",14,2
2015,7,"Turkey Knights","Scotland Squirrels","Turkey Knights",11,11
2015,7,"Durhamstrang","England Nightmares","Durhamstrang",13,0
2015,8,"United States Chimeras","Japan Falcons","United States Chimeras",2,0
2015,8,"Australia Centurions","Germany Werewolves","Australia Centurions",8,2
2015,8,"New Zealand Daemons","France Thestrals","New Zealand Daemons",4,7
2015,8,"France Hippogriffs Firsts","Ireland Griffins","France Hippogriffs Firsts",11,8
2015,8,"Denmark Horntails","Wales Longshots","Denmark Horntails",8,1
2015,8,"Malaysia Tornadoes","Scotland Squirrels","Malaysia Tornadoes",8,11
2015,8,"Pakistan Swans","England Nightmares","Pakistan Swans",0,15
2015,8,"Turkey Knights","Durhamstrang","Turkey Knights",13,5
2015,9,"United States Chimeras","Germany Werewolves","Germany Werewolves",3,4
2015,9,"Japan Falcons","France Thestrals","Japan Falcons",6,14
2015,9,"Australia Centurions","Ireland Griffins","Ireland Griffins",9,6
2015,9,"New Zealand Daemons","Wales Longshots","Wales Longshots",10,8
2015,9,"France Hippogriffs Firsts","Scotland Squirrels","France Hippogriffs Firsts",0,11
2015,9,"Denmark Horntails","England Nightmares","Denmark Horntails",14,4
2015,9,"Malaysia Tornadoes","Durhamstrang","Durhamstrang",13,12
2015,9,"Pakistan Swans","Turkey Knights","Pakistan Swans",0,13
2015,10,"United States Chimeras","France Thestrals","United States Chimeras",2,2
2015,10,"Germany Werewolves","Ireland Griffins","Ireland Griffins",1,5
2015,10,"Japan Falcons","Wales Longshots","Wales Longshots",15,7
2015,10,"Australia Centurions","Scotland Squirrels","Australia Centurions",12,15
2015,10,"New Zealand Daemons","England Nightmares","New Zealand Daemons",15,4
2015,10,"France Hippogriffs Firsts","Durhamstrang","France Hippogriffs Firsts",12,3
2015,10,"Denmark Horntails","Turkey Knights","Denmark Horntails",7,15
2015,10,"Malaysia Tornadoes","Pakistan Swans","Pakistan Swans",5,3
2015,11,"United States Chimeras","Ireland Griffins","Ireland Griffins",10,9
2015,11,"France Thestrals","Wales Longshots","France Thestrals",3,5
2015,11,"Germany Werewolves","Scotland Squirrels","Germany Werewolves",4,9
2015,11,"Japan Falcons","England Nightmares","England Nightmares",4,8
2015,11,"Australia Centurions","Durhamstrang","Australia Centurions",1,3
2015,11,"New Zealand Daemons","Turkey Knights","Turkey Knights",0,4
2015,11,"France Hippogriffs Firsts","Pakistan Swans","Pakistan Swans",15,9
2015,11,"Denmark Horntails","Malaysia Tornadoes","Malaysia Tornadoes",6,7
2015,12,"United States Chimeras","Wales Longshots","United States Chimeras",0,10
2015,12,"Ireland Griffins","Scotland Squirrels","Ireland Griffins",14,11
2015,12,"France Thestrals","England Nightmares","England Nightmares",1,12
2015,12,"Germany Werewolves","Durhamstrang","Germany Werewolves",8,1
2015,12,"Japan Falcons","Turkey Knights","Turkey Knights",8,0
2015,12,"Australia Centurions","Pakistan Swans","Pakistan Swans",11,15
2015,12,"New Zealand Daemons","Malaysia Tornadoes","New Zealand Daemons",4,13
2015,12,"France Hippogriffs Firsts","Denmark Horntails","Denmark Horntails",15,6
2015,13,"United States Chimeras","Scotland Squirrels","United States Chimeras",15,10
2015,13,"Wales Longshots","England Nightmares","Wales Longshots",15,4
2015,13,"Ireland Griffins","Durhamstrang","Durhamstrang",9,9
2015,13,"France Thestrals","Turkey Knights","Turkey Knights",8,11
2015,13,"Germany Werewolves","Pakistan Swans","Pakistan Swans",11,0
2015,13,"Japan Falcons","Malaysia Tornadoes","Japan Falcons",1,4
2015,13,"Australia Centurions","Denmark Horntails","Australia Centurions",12,7
2015,13,"New Zealand Daemons","France Hippogriffs Firsts","France Hippogriffs Firsts",11,1
2015,14,"United States Chimeras","England Nightmares","England Nightmares",3,7
2015,14,"Scotland Squirrels","Durhamstrang","Durhamstrang",9,9
2015,14,"Wales Longshots","Turkey Knights","Turkey Knights",11,5
2015,14,"Ireland Griffins","Pakistan Swans","Pakistan Swans",6,2
2015,14,"France Thestrals","Malaysia Tornadoes","France Thestrals",7,10
2015,14,"Germany Werewolves","Denmark Horntails","Denmark Horntails",8,11
2015,14,"Japan Falcons","France Hippogriffs Firsts","France Hippogriffs Firsts",2,11
2015,14,"Australia Centurions","New Zealand Daemons","Australia Centurions",5,3
2015,15,"United States Chimeras","Durhamstrang","Durhamstrang",2,1
2015,15,"England Nightmares","Turkey Knights","England Nightmares",10,6
2015,15,"Scotland Squirrels","Pakistan Swans","Pakistan Swans",2,10
2015,15,"Wales Longshots","Malaysia Tornadoes","Malaysia Tornadoes",13,13
2015,15,"Ireland Griffins","Denmark Horntails","Denmark Horntails",1,3
2015,15,"France Thestrals","France Hippogriffs Firsts","France Thestrals",3,4
2015,15,"Germany Werewolves","New Zealand Daemons","Germany Werewolves",10,0
2015,15,"Japan Falcons","Australia Centurions","Japan Falcons",0,7
2015,16,"Turkey Knights","United States Chimeras","United States Chimeras",15,2
2015,16,"Pakistan Swans","Durhamstrang","Pakistan Swans",8,10
2015,16,"Malaysia Tornadoes","England Nightmares","Malaysia Tornadoes",13,9
2015,16,"Denmark Horntails","Scotland Squirrels","Scotland Squirrels",12,11
2015,16,"France Hippogriffs Firsts","Wales Longshots","France Hippogriffs Firsts",15,11
2015,16,"New Zealand Daemons","Ireland Griffins","New Zealand Daemons",7,15
2015,16,"Australia Centurions","France Thestrals","Australia Centurions",12,5
2015,16,"Japan Falcons","Germany Werewolves","Germany Werewolves",6,13
2015,17,"Pakistan Swans","United States Chimeras","United States Chimeras",4,8
2015,17,"Malaysia Tornadoes","Turkey Knights","Malaysia Tornadoes",14,10
2015,17,"Denmark Horntails","Durhamstrang","Durhamstrang",13,6
2015,17,"France Hippogriffs Firsts","England Nightmares","England Nightmares",12,12
2015,17,"New Zealand Daemons","Scotland Squirrels","Scotland Squirrels",10,11
2015,17,"Australia Centurions","Wales Longshots","Wales Longshots",3,11
2015,17,"Japan Falcons","Ireland Griffins","Ireland Griffins",7,15
2015,17,"Germany Werewolves","France Thestrals","Germany Werewolves",1,3
2015,18,"Malaysia Tornadoes","United States Chimeras","Malaysia Tornadoes",1,14
2015,18,"Denmark Horntails","Pakistan Swans","Denmark Horntails",3,13
2015,18,"France Hippogriffs Firsts","Turkey Knights","France Hippogriffs Firsts",12,6
2015,18,"New Zealand Daemons","Durhamstrang","New Zealand Daemons",3,6
2015,18,"Australia Centurions","England Nightmares","Australia Centurions",15,8
2015,18,"Japan Falcons","Scotland Squirrels","Scotland Squirrels",4,10
2015,18,"Germany Werewolves","Wales Longshots","Wales Longshots",5,0
2015,18,"France Thestrals","Ireland Griffins","Ireland Griffins",8,9
2015,19,"Denmark Horntails","United States Chimeras","Denmark Horntails",7,12
2015,19,"France Hippogriffs Firsts","Malaysia Tornadoes","France Hippogriffs Firsts",4,0
2015,19,"New Zealand Daemons","Pakistan Swans","New Zealand Daemons",1,7
2015,19,"Australia Centurions","Turkey Knights","Australia Centurions",2,4
2015,19,"Japan Falcons","Durhamstrang","Durhamstrang",12,2
2015,19,"Germany Werewolves","England Nightmares","England Nightmares",9,6
2015,19,"France Thestrals","Scotland Squirrels","France Thestrals",7,15
2015,19,"Ireland Griffins","Wales Longshots","Ireland Griffins",7,8
2015,20,"France Hippogriffs Firsts","United States Chimeras","France Hippogriffs Firsts",14,2
2015,20,"New Zealand Daemons","Denmark Horntails","New Zealand Daemons",11,9
2015,20,"Australia Centurions","Malaysia Tornadoes","Australia Centurions",7,1
2015,20,"Japan Falcons","Pakistan Swans","Pakistan Swans",9,6
2015,20,"Germany Werewolves","Turkey Knights","Turkey Knights",8,8
2015,20,"France Thestrals","Durhamstrang","Durhamstrang",14,14
2015,20,"Ireland Griffins","England Nightmares","England Nightmares",10,14
2015,20,"Wales Longshots","Scotland Squirrels","Wales Longshots",7,14
2015,21,"New Zealand Daemons","United States Chimeras","New Zealand Daemons",4,13
2015,21,"Australia Centurions","France Hippogriffs Firsts","Australia Centurions",6,7
2015,21,"Japan Falcons","Denmark Horntails","Denmark Horntails",2,15
2015,21,"Germany Werewolves","Malaysia Tornadoes","Malaysia Tornadoes",3,0
2015,21,"France Thestrals","Pakistan Swans","Pakistan Swans",13,15
2015,21,"Ireland Griffins","Turkey Knights","Turkey Knights",15,1
2015,21,"Wales Longshots","Durhamstrang","Wales Longshots",9,15
2015,21,"Scotland Squirrels","England Nightmares","Scotland Squirrels",4,3
2015,22,"Australia Centurions","United States Chimeras","Australia Centurions",10,5
2015,22,"Japan Falcons","New Zealand Daemons","Japan Falcons",9,15
2015,22,"Germany Werewolves","France Hippogriffs Firsts","France Hippogriffs Firsts",10,0
2015,22,"France Thestrals","Denmark Horntails","France Thestrals",1,5
2015,22,"Ireland Griffins","Malaysia Tornadoes","Malaysia Tornadoes",10,14
2015,22,"Wales Longshots","Pakistan Swans","Wales Longshots",14,13
2015,22,"Scotland Squirrels","Turkey Knights","Scotland Squirrels",7,13
2015,22,"England Nightmares","Durhamstrang","Durhamstrang",7,6
2015,23,"Japan Falcons","United States Chimeras","Japan Falcons",9,3
2015,23,"Germany Werewolves","Australia Centurions","Germany Werewolves",10,7
2015,23,"France Thestrals","New Zealand Daemons","New Zealand Daemons",3,11
2015,23,"Ireland Griffins","France Hippogriffs Firsts","France Hippogriffs Firsts",5,3
2015,23,"Wales Longshots","Denmark Horntails","Wales Longshots",6,15
2015,23,"Scotland Squirrels","Malaysia Tornadoes","Malaysia Tornadoes",1,8
2015,23,"England Nightmares","Pakistan Swans","England Nightmares",13,10
2015,23,"Durhamstrang","Turkey Knights","Durhamstrang",1,8
2015,24,"Germany Werewolves","United States Chimeras","Germany Werewolves",15,13
2015,24,"France Thestrals","Japan Falcons","Japan Falcons",8,13
2015,24,"Ireland Griffins","Australia Centurions","Australia Centurions",1,2
2015,24,"Wales Longshots","New Zealand Daemons","New Zealand Daemons",8,10
2015,24,"Scotland Squirrels","France Hippogriffs Firsts","Scotland Squirrels",4,6
2015,24,"England Nightmares","Denmark Horntails","England Nightmares",15,12
2015,24,"Durhamstrang","Malaysia Tornadoes","Malaysia Tornadoes",3,0
2015,24,"Turkey Knights","Pakistan Swans","Turkey Knights",12,11
2015,25,"France Thestrals","United States Chimeras","France Thestrals",5,10
2015,25,"Ireland Griffins","Germany Werewolves","Germany Werewolves",13,7
2015,25,"Wales Longshots","Japan Falcons","Wales Longshots",14,5
2015,25,"Scotland Squirrels","Australia Centurions","Australia Centurions",11,13
2015,25,"England Nightmares","New Zealand Daemons","New Zealand Daemons",14,5
2015,25,"Durhamstrang","France Hippogriffs Firsts","France Hippogriffs Firsts",4,2
2015,25,"Turkey Knights","Denmark Horntails","Denmark Horntails",13,6
2015,25,"Pakistan Swans","Malaysia Tornadoes","Malaysia Tornadoes",1,12
2015,26,"Ireland Griffins","United States Chimeras","United States Chimeras",14,0
2015,26,"Wales Longshots","France Thestrals","France Thestrals",6,4
2015,26,"Scotland Squirrels","Germany Werewolves","Germany Werewolves",4,15
2015,26,"England Nightmares","Japan Falcons","Japan Falcons",9,1
2015,26,"Durhamstrang","Australia Centurions","Durhamstrang",11,4
2015,26,"Turkey Knights","New Zealand Daemons","New Zealand Daemons",5,1
2015,26,"Pakistan Swans","France Hippogriffs Firsts","Pakistan Swans",8,1
2015,26,"Malaysia Tornadoes","Denmark Horntails","Denmark Horntails",12,5
2015,27,"Wales Longshots","United States Chimeras","United States Chimeras",12,6
2015,27,"Scotland Squirrels","Ireland Griffins","Scotland Squirrels",12,2
2015,27,"England Nightmares","France Thestrals","England Nightmares",1,15
2015,27,"Durhamstrang","Germany Werewolves","Durhamstrang",7,1
2015,27,"Turkey Knights","Japan Falcons","Turkey Knights",10,3
2015,27,"Pakistan Swans","Australia Centurions","Australia Centurions",7,9
2015,27,"Malaysia Tornadoes","New Zealand Daemons","Malaysia Tornadoes",12,11
2015,27,"Denmark Horntails","France Hippogriffs Firsts","Denmark Horntails",2,6
2015,28,"Scotland Squirrels","United States Chimeras","United States Chimeras",0,9
2015,28,"England Nightmares","Wales Longshots","England Nightmares",5,2
2015,28,"Durhamstrang","Ireland Griffins","Durhamstrang",15,15
2015,28,"Turkey Knights","France Thestrals","Turkey Knights",10,2
2015,28,"Pakistan Swans","Germany Werewolves","Germany Werewolves",4,6
2015,28,"Malaysia Tornadoes","Japan Falcons","Japan Falcons",6,14
2015,28,"Denmark Horntails","Australia Centurions","Denmark Horntails",14,1
2015,28,"France Hippogriffs Firsts","New Zealand Daemons","New Zealand Daemons",2,13
2015,29,"England Nightmares","United States Chimeras","United States Chimeras",12,0
2015,29,"Durhamstrang","Scotland Squirrels","Scotland Squirrels",6,12
2015,29,"Turkey Knights","Wales Longshots","Wales Longshots",13,2
2015,29,"Pakistan Swans","Ireland Griffins","Ireland Griffins",7,6
2015,29,"Malaysia Tornadoes","France Thestrals","France Thestrals",11,11
2015,29,"Denmark Horntails","Germany Werewolves","Denmark Horntails",12,6
2015,29,"France Hippogriffs Firsts","Japan Falcons","France Hippogriffs Firsts",6,3
2015,29,"New Zealand Daemons","Australia Centurions","New Zealand Daemons",10,0
2015,30,"Durhamstrang","United States Chimeras","Durhamstrang",1,6
2015,30,"Turkey Knights","England Nightmares","England Nightmares",15,15
2015,30,"Pakistan Swans","Scotland Squirrels","Pakistan Swans",8,6
2015,30,"Malaysia Tornadoes","Wales Longshots","Wales Longshots",1,8
2015,30,"Denmark Horntails","Ireland Griffins","Ireland Griffins",4,9
2015,30,"France Hippogriffs Firsts","France Thestrals","France Hippogriffs Firsts",11,12
2015,30,"New Zealand Daemons","Germany Werewolves","Germany Werewolves",0,11
2015,30,"Australia Centurions","Japan Falcons","Australia Centurions",4,9
2016,1,"United States Chimeras","Turkey Knights","Turkey Knights",5,5
2016,1,"Durhamstrang","Pakistan Swans","Pakistan Swans",8,3
2016,1,"England Nightmares","Malaysia Tornadoes","Malaysia Tornadoes",11,12
2016,1,"Scotland Squirrels","Denmark Horntails","Denmark Horntails",9,7
2016,1,"Wales Longshots","France Hippogriffs Firsts","Wales Longshots",6,8
2016,1,"Ireland Griffins","New Zealand Daemons","New Zealand Daemons",1,8
2016,1,"France Thestrals","Australia Centurions","Australia Centurions",8,7
2016,1,"Germany Werewolves","Japan Falcons","Germany Werewolves",1,1
2016,2,"United States Chimeras","Pakistan Swans","Pakistan Swans",13,3
2016,2,"Turkey Knights","Malaysia Tornadoes","Turkey Knights",4,8
2016,2,"Durhamstrang","Denmark Horntails","Denmark Horntails",13,2
2016,2,"England Nightmares","France Hippogriffs Firsts","France Hippogriffs Firsts",2,9
2016,2,"Scotland Squirrels","New Zealand Daemons","New Zealand Daemons",15,13
2016,2,"Wales Longshots","Australia Centurions","Wales Longshots",2,3
2016,2,"Ireland Griffins","Japan Falcons","Ireland Griffins",1,11
2016,2,"France Thestrals","Germany Werewolves","Germany Werewolves",2,4
2016,3,"United States Chimeras","Malaysia Tornadoes","United States Chimeras",12,14
2016,3,"Pakistan Swans","Denmark Horntails","Denmark Horntails",2,10
2016,3,"Turkey Knights","France Hippogriffs Firsts","Turkey Knights",6,5
2016,3,"Durhamstrang","New Zealand Daemons","Durhamstrang",10,8
2016,3,"England Nightmares","Australia Centurions","England Nightmares",12,7
2016,3,"Scotland Squirrels","Japan Falcons","Scotland Squirrels",1,13
2016,3,"Wales Longshots","Germany Werewolves","Germany Werewolves",3,0
2016,3,"Ireland Griffins","France Thestrals","France Thestrals",0,14
2016,4,"United States Chimeras","Denmark Horntails","Denmark Horntails",8,4
2016,4,"Malaysia Tornadoes","France Hippogriffs Firsts","France Hippogriffs Firsts",15,13
2016,4,"Pakistan Swans","New Zealand Daemons","Pakistan Swans",5,15
2016,4,"Turkey Knights","Australia Centurions","Turkey Knights",2,10
2016,4,"Durhamstrang","Japan Falcons","Japan Falcons",8,2
2016,4,"England Nightmares","Germany Werewolves","England Nightmares",14,13
2016,4,"Scotland Squirrels","France Thestrals","Scotland Squirrels",4,7
2016,4,"Wales Longshots","Ireland Griffins","Ireland Griffins",4,8
2016,5,"United States Chimeras","France Hippogriffs Firsts","France Hippogriffs Firsts",1,8
2016,5,"Denmark Horntails","New Zealand Daemons","New Zealand Daemons",14,11
2016,5,"Malaysia Tornadoes","Australia Centurions","Australia Centurions",0,4
2016,5,"Pakistan Swans","Japan Falcons","Japan Falcons",10,11
2016,5,"Turkey Knights","Germany Werewolves","Germany Werewolves",12,10
2016,5,"Durhamstrang","France Thestrals","Durhamstrang",2,4
2016,5,"England Nightmares","Ireland Griffins","England Nightmares",4,7
2016,5,"Scotland Squirrels","Wales Longshots","Wales Longshots",7,13
2016,6,"United States Chimeras","New Zealand Daemons","New Zealand Daemons",8,15
2016,6,"France Hippogriffs Firsts","Australia Centurions","Australia Centurions",10,13
2016,6,"Denmark Horntails","Japan Falcons","Denmark Horntails",1,7
2016,6,"Malaysia Tornadoes","Germany Werewolves","Malaysia Tornadoes",15,9
2016,6,"Pakistan Swans","France Thestrals","France Thestrals",4,0
2016,6,"Turkey Knights","Ireland Griffins","Turkey Knights",7,1
2016,6,"Durhamstrang","Wales Longshots","Wales Longshots",4,6
2016,6,"England Nightmares","Scotland Squirrels","Scotland Squirrels",9,10
2016,7,"United States Chimeras","Australia Centurions","Australia Centurions",3,13
2016,7,"New Zealand Daemons","Japan Falcons","New Zealand Daemons",5,8
2016,7,"France Hippogriffs Firsts","Germany Werewolves","France Hippogriffs Firsts",4,14
2016,7,"Denmark Horntails","France Thestrals","France Thestrals",13,12
2016,7,"Malaysia Tornadoes","Ireland Griffins","Ireland Griffins",10,3
2016,7,"Pakistan Swans","Wales Longshots","Pakistan Swans",5,4
2016,7,"Turkey Knights","Scotland Squirrels","Turkey Knights",3,10
2016,7,"Durhamstrang","England Nightmares","England Nightmares",11,6
2016,8,"United States Chimeras","Japan Falcons","Japan Falcons",0,9
2016,8,"Australia Centurions","Germany Werewolves","Germany Werewolves",1,14
2016,8,"New Zealand Daemons","France Thestrals","France Thestrals",12,6
2016,8,"France Hippogriffs Firsts","Ireland Griffins","Ireland Griffins",5,4
2016,8,"Denmark Horntails","Wales Longshots","Denmark Horntails",0,15
2016,8,"Malaysia Tornadoes","Scotland Squirrels","Scotland Squirrels",10,5
2016,8,"Pakistan Swans","England Nightmares","England Nightmares",1,5
2016,8,"Turkey Knights","Durhamstrang","Durhamstrang",12,3
2016,9,"United States Chimeras","Germany Werewolves","United States Chimeras",0,1
2016,9,"Japan Falcons","France Thestrals","Japan Falcons",8,5
2016,9,"Australia Centurions","Ireland Griffins","Australia Centurions",5,0
2016,9,"New Zealand Daemons","Wales Longshots","Wales Longshots",10,5
2016,9,"France Hippogriffs Firsts","Scotland Squirrels","Scotland Squirrels",14,9
2016,9,"Denmark Horntails","England Nightmares","Denmark Horntails",11,4
2016,9,"Malaysia Tornadoes","Durhamstrang","Malaysia Tornadoes",4,12
2016,9,"Pakistan Swans","Turkey Knights","Turkey Knights",12,0
2016,10,"United States Chimeras","France Thestrals","France Thestrals",3,5
2016,10,"Germany Werewolves","Ireland Griffins","Germany Werewolves",6,2
2016,10,"Japan Falcons","Wales Longshots","Japan Falcons",6,7
2016,10,"Australia Centurions","Scotland Squirrels","Scotland Squirrels",14,1
2016,10,"New Zealand Daemons","England Nightmares","New Zealand Daemons",12,7
2016,10,"France Hippogriffs Firsts","Durhamstrang","France Hippogriffs Firsts",13,6
2016,10,"Denmark Horntails","Turkey Knights","Turkey Knights",13,14
2016,10,"Malaysia Tornadoes","Pakistan Swans","Pakistan Swans",0,15
2016,11,"United States Chimeras","Ireland Griffins","United States Chimeras",3,12
2016,11,"France Thestrals","Wales Longshots","France Thestrals",9,5
2016,11,"Germany Werewolves","Scotland Squirrels","Germany Werewolves",6,15
2016,11,"Japan Falcons","England Nightmares","Japan Falcons",10,0
2016,11,"Australia Centurions","Durhamstrang","Australia Centurions",4,6
2016,11,"New Zealand Daemons","Turkey Knights","New Zealand Daemons",8,6
2016,11,"France Hippogriffs Firsts","Pakistan Swans","Pakistan Swans",11,2
2016,11,"Denmark Horntails","Malaysia Tornadoes","Malaysia Tornadoes",3,4
2016,12,"United States Chimeras","Wales Longshots","Wales Longshots",7,5
2016,12,"Ireland Griffins","Scotland Squirrels","Scotland Squirrels",4,1
2016,12,"France Thestrals","England Nightmares","France Thestrals",8,13
2016,12,"Germany Werewolves","Durhamstrang","Durhamstrang",0,3
2016,12,"Japan Falcons","Turkey Knights","Turkey Knights",6,7
2016,12,"Australia Centurions","Pakistan Swans","Pakistan Swans",1,0
2016,12,"New Zealand Daemons","Malaysia Tornadoes","Malaysia Tornadoes",14,6
2016,12,"France Hippogriffs Firsts","Denmark Horntails","France Hippogriffs Firsts",11,5
2016,13,"United States Chimeras","Scotland Squirrels","United States Chimeras",14,12
2016,13,"Wales Longshots","England Nightmares","Wales Longshots",12,3
2016,13,"Ireland Griffins","Durhamstrang","Durhamstrang",4,7
2016,13,"France Thestrals","Turkey Knights","France Thestrals",10,7
2016,13,"Germany Werewolves","Pakistan Swans","Germany Werewolves",12,13
2016,13,"Japan Falcons","Malaysia Tornadoes","Malaysia Tornadoes",0,14
2016,13,"Australia Centurions","Denmark Horntails","Australia Centurions",11,12
2016,13,"New Zealand Daemons","France Hippogriffs Firsts","France Hippogriffs Firsts",13,8
2016,14,"United States Chimeras","England Nightmares","United States Chimeras",12,4
2016,14,"Scotland Squirrels","Durhamstrang","Durhamstrang",14,1
2016,14,"Wales Longshots","Turkey Knights","Turkey Knights",7,11
2016,14,"Ireland Griffins","Pakistan Swans","Ireland Griffins",4,0
2016,14,"France Thestrals","Malaysia Tornadoes","Malaysia Tornadoes",5,4
2016,14,"Germany Werewolves","Denmark Horntails","Germany Werewolves",11,4
2016,14,"Japan Falcons","France Hippogriffs Firsts","France Hippogriffs Firsts",2,1
2016,14,"Australia Centurions","New Zealand Daemons","New Zealand Daemons",15,11
2016,15,"United States Chimeras","Durhamstrang","United States Chimeras",9,8
2016,15,"England Nightmares","Turkey Knights","Turkey Knights",7,8
2016,15,"Scotland Squirrels","Pakistan Swans","Pakistan Swans",13,14
2016,15,"Wales Longshots","Malaysia Tornadoes","Malaysia Tornadoes",11,10
2016,15,"Ireland Griffins","Denmark Horntails","Ireland Griffins",10,9
2016,15,"France Thestrals","France Hippogriffs Firsts","France Thestrals",15,0
2016,15,"Germany Werewolves","New Zealand Daemons","New Zealand Daemons",12,1
2016,15,"Japan Falcons","Australia Centurions","Japan Falcons",7,14
2016,16,"Turkey Knights","United States Chimeras","Turkey Knights",4,13
2016,16,"Pakistan Swans","Durhamstrang","Durhamstrang",8,14
2016,16,"Malaysia Tornadoes","England Nightmares","England Nightmares",0,6
2016,16,"Denmark Horntails","Scotland Squirrels","Scotland Squirrels",8,13
2016,16,"France Hippogriffs Firsts","Wales Longshots","France Hippogriffs Firsts",5,4
2016,16,"New Zealand Daemons","Ireland Griffins","Ireland Griffins",15,5
2016,16,"Australia Centurions","France Thestrals","Australia Centurions",15,4
2016,16,"Japan Falcons","Germany Werewolves","Germany Werewolves",12,13
2016,17,"Pakistan Swans","United States Chimeras","Pakistan Swans",8,4
2016,17,"Malaysia Tornadoes","Turkey Knights","Turkey Knights",14,3
2016,17,"Denmark Horntails","Durhamstrang","Durhamstrang",9,14
2016,17,"France Hippogriffs Firsts","England Nightmares","England Nightmares",5,13
2016,17,"New Zealand Daemons","Scotland Squirrels","Scotland Squirrels",8,15
2016,17,"Australia Centurions","Wales Longshots","Australia Centurions",14,11
2016,17,"Japan Falcons","Ireland Griffins","Ireland Griffins",4,10
2016,17,"Germany Werewolves","France Thestrals","France Thestrals",0,15
2016,18,"Malaysia Tornadoes","United States Chimeras","Malaysia Tornadoes",4,4
2016,18,"Denmark Horntails","Pakistan Swans","Pakistan Swans",6,11
2016,18,"France Hippogriffs Firsts","Turkey Knights","France Hippogriffs Firsts",12,8
2016,18,"New Zealand Daemons","Durhamstrang","New Zealand Daemons",8,9
2016,18,"Australia Centurions","England Nightmares","Australia Centurions",6,6
2016,18,"Japan Falcons","Scotland Squirrels","Scotland Squirrels",6,7
2016,18,"Germany Werewolves","Wales Longshots","Wales Longshots",0,4
2016,18,"France Thestrals","Ireland Griffins","France Thestrals",8,12
2016,19,"Denmark Horntails","United States Chimeras","United States Chimeras",9,10
2016,19,"France Hippogriffs Firsts","Malaysia Tornadoes","France Hippogriffs Firsts",1,10
2016,19,"New Zealand Daemons","Pakistan Swans","Pakistan Swans",13,12
2016,19,"Australia Centurions","Turkey Knights","Australia Centurions",15,7
2016,19,"Japan Falcons","Durhamstrang","Durhamstrang",5,13
2016,19,"Germany Werewolves","England Nightmares","England Nightmares",1,6
2016,19,"France Thestrals","Scotland Squirrels","Scotland Squirrels",4,3
2016,19,"Ireland Griffins","Wales Longshots","Wales Longshots",7,3
2016,20,"France Hippogriffs Firsts","United States Chimeras","France Hippogriffs Firsts",13,2
2016,20,"New Zealand Daemons","Denmark Horntails","Denmark Horntails",6,7
2016,20,"Australia Centurions","Malaysia Tornadoes","Malaysia Tornadoes",0,4
2016,20,"Japan Falcons","Pakistan Swans","Japan Falcons",15,4
2016,20,"Germany Werewolves","Turkey Knights","Germany Werewolves",9,10
2016,20,"France Thestrals","Durhamstrang","Durhamstrang",7,10
2016,20,"Ireland Griffins","England Nightmares","Ireland Griffins",1,11
2016,20,"Wales Longshots","Scotland Squirrels","Scotland Squirrels",5,15
2016,21,"New Zealand Daemons","United States Chimeras","New Zealand Daemons",3,12
2016,21,"Australia Centurions","France Hippogriffs Firsts","France Hippogriffs Firsts",6,2
2016,21,"Japan Falcons","Denmark Horntails","Japan Falcons",13,4
2016,21,"Germany Werewolves","Malaysia Tornadoes","Malaysia Tornadoes",11,12
2016,21,"France Thestrals","Pakistan Swans","Pakistan Swans",1,7
